REGISTRO_OPERADORA;CNPJ;Razao_Social;Nome_Fantasia;Modalidade;Logradouro;Numero;Complemento;Bairro;Cidade;UF;CEP;DDD;Telefone;Fax;Endereco_eletronico;Representante;Cargo_Representante;Regiao_de_Comercializacao;Data_Registro_ANS;Data_Descredenciamento;Motivo_do_Descredenciamento
"410942";"03607971000192";"24 HORAS SISTEMA DE SAUDE S/C LTDA";"24 HORAS";"Medicina de Grupo";"RUA PROPICIA";"187";;"ENGENHO NOVO";"Rio de Janeiro";"RJ";"20780160";"21";"25010935";"25010935";"saude24-horas@ig.com.br";"MARCOS ANTONIO GARCIA PEREIRA";"SOCIO GERENTE";;"2000-03-23";"2003-12-19";"Pedido de cancelamento"
"422908";"41788751000100";"3S ADMINISTRADORA DE BENEFICIOS LTDA";"3S ADMINISTRADORA DE BENEFICIOS";"Administradora de Benefícios";"RUA ITÁLIA";"33";"SALA 6";"JARDIM BONFIGLIOLI";"Jundiaí";"SP";"13207280";"11";"42263247";;"pietrorocchi37@gmail.com";"ANAMELIA MONTEIRO GUERRA ROCCHI";"SÓCIO ADMINISTRADOR";6;"2021-07-12";"2025-07-21";"BAIXA DE INSCRIÇÃO NO CNPJ"
"419575";"18108766000150";"A LA SANTE ADMINISTRADORA DE BENEFICIO LTDA.";"A LA SANTE";"Administradora de Benefícios";"RUA OLIMPIADAS";"205";"4º ANDAR";"VILA OLIMPIA";"São Paulo";"SP";"04551000";"11";"36833438";;;"LARISSA DIAS DA SILVA";"SOCIA ADMINISTRADORA";4;"2014-10-06";"2017-10-10";"Deliberação de Diretoria Colegiada"
"320439";"50928563000112";"A M P ASSISTENCIA MEDICA PAULISTA S/C LTDA";"A M P ASSISTENCIA MEDICA PAULISTA S/C LTDA";"Medicina de Grupo";"RUA CAV. ERNESTO GIULIANO";"979";;"OLIMPICO";"São Caetano do Sul";"SP";"09570400";"11";"26354";"26354";;"MOYSES FRIEDHEIM";"DIRETOR TESOUREIRO";;"1999-01-27";"2000-12-13";"Pedido de cancelamento"
"406821";"03246912000136";"A ORAL OESTE'S ASSISTENCIA EM ODONTOLOGIA S/C LTDA";"A ORAL OESTE'S ASSISTENCIA EM ODONTOLOGIA S/C LTDA";"Odontologia de Grupo";"RUA: BRIGADEIRO GAVIÃO PEIXOTO";"132";;"LAPA";"São Paulo";"SP";"05078000";"11";"8330140";;;"ANGELA RUGGIERO";;;"1999-08-03";"2003-05-29";"Ausência de operação - Deliberação de Diretoria Colegiada"
"36622";"00938157000162";"A P ASSISTENCIA ODONTOLOGICA S/C LTDA";;"Odontologia de Grupo";"AVENIDA CARMINE FEOLA";"61";;"SAO DOMINGOS";"Americana";"SP";"13465070";"19";"4617741";"4617741";;"ANA BEATRIZ TICLE FERRAZ";"SÓCIO GERENTE";;"1999-01-08";"1999-09-20";"Descumprimento da Circular SUSEP no. 77/1999"
"413763";"04220477000133";"A S ASSISTENCIA ODONTOLOGICA LTDA.";"ODONTOREAL";"Odontologia de Grupo";"R MARIA DA GLÓRIA DE OLIVEIRA RODRIGUES";"12";"TÉRREO";"MANGABEIRA I";"João Pessoa";"PB";"58075000";"83 ";"32385425";"32385425";"odontoreale@ig.com.br";"SEVERINA BRASILIANO TEIXEIRA";"SOCIA ADMINISTRADORA";6;"2001-05-28";"2016-03-09";"Deliberação de Diretoria Colegiada"
"410683";"03459805000196";"A. J. S. ODONTOLOGIA S/C LTDA";"ODONTOMIL ASSISTENCIA ODONTOLOGICA";"Odontologia de Grupo";"RUA MAJOR QUEDINHO";"111";"7º ANDAR";"BELA VISTA";"São Paulo";"SP";"01050030";"11";"2595109";"2595109";;"ANTONIO JORGE DA SILVA";"SÓCIO";;"2000-02-21";"2002-10-22";"Ausência de operação"
"344818";"43363241000108";"A.I.S. -  ASSISTENCIA ODONTOLOGICA REUNIDA S/S LTDA";;"Odontologia de Grupo";"RUA JERONIMO DA VEIGA";"428";;"ITAIM BIBI";"São Paulo";"SP";"04536001";"11";"30796003";"40339921";"ais.odonto@terra.com.br";"ANDRE TORTAMANO";"GERENTE";4;"1998-12-16";"2015-05-14";"Pedido de cancelamento"
"36252";"66852476000169";"A.M.G. ASSISTENCIA MÉDICA GERAL S/C. LTDA.";"A.M.G. SAUDE";"Medicina de Grupo";"AV. GUILHERME GIORGE";"82";;"VILA CARRAO";"São Paulo";"SP";"03422000";"11";"61918200";"0692217955";"amgsaude@zaz.com.br";;;;"1998-12-28";"1999-09-20";"Descumprimento da Circular SUSEP no. 77/1999"
"415791";"06370751000186";"A.M.P VENTURINI SERVIÇOS ODONTOLÓGICOS LTDA.";"SOMA";"Odontologia de Grupo";"RUA VISCONDE DE INHAÚMA";"468";"SALA 69";"CENTRO";"Ribeirão Preto";"SP";"14010100";"16";"39312056";"39312056";"somaconvenio@gmail.com";"MARCELO PETENUSCI VENTURINI";"DIRETOR";5;"2006-10-25";"2012-05-28";"Pedido de cancelamento"
"305324";"60047891000163";"A.M.S. ASSESSORIA MÉDICO SOCIAL S/C LTDA";"A.M.S. ASSESS.MEDICO";"Medicina de Grupo";"R. TANABI";"50";;"PERDIZES";"São Paulo";"SP";"05002010";"11";"38722632";"38722632";;"JOSÉ EDUARDO DE ALMEIDA NIGRO";"SÓCIO";;"1999-01-05";"2000-09-08";"Pedido de cancelamento"
